ADI	Arandis Airport	Arandis, Namibia	https://en.wikipedia.org/wiki/Arandis_Airport
ADJ	Amman Civil Airport (Marka International Airport)	Amman, Jordan	https://en.wikipedia.org/wiki/Amman_Civil_Airport
ADK	Adak Airport	Adak Island, Alaska, United States	https://en.wikipedia.org/wiki/Adak_Airport
ADL	Adelaide Airport	Adelaide, South Australia, Australia	https://en.wikipedia.org/wiki/Adelaide_Airport
ADM	Ardmore Municipal Airport	Ardmore, Oklahoma, United States	https://en.wikipedia.org/wiki/Ardmore_Municipal_Airport
ADN	Andes Airport	Andes, Colombia	https://en.wikipedia.org/wiki/Andes_Airport
ADO	Andamooka Airport	Andamooka, South Australia, Australia	https://en.wikipedia.org/wiki/Andamooka_Airport
ADP	Ampara Airport	Ampara, Sri Lanka	https://en.wikipedia.org/wiki/Ampara_Airport
ADQ	Kodiak Airport	Kodiak, Alaska, United States	https://en.wikipedia.org/wiki/Kodiak_Airport
ADR	Robert F. Swinnie Airport (FAA: PHH)	Andrews, South Carolina, United States	https://en.wikipedia.org/wiki/Robert_F._Swinnie_Airport
ADS	Addison Airport	Dallas, Texas, United States	https://en.wikipedia.org/wiki/Addison_Airport
ADT	Ada Municipal Airport (FAA: ADH)	Ada, Oklahoma, United States	https://en.wikipedia.org/wiki/Ada_Municipal_Airport
ADU	Ardabil Airport	Ardabil, Iran	https://en.wikipedia.org/wiki/Ardabil_Airport
ADV	Ed Daein Airport	Ed Daein, Sudan	https://en.wikipedia.org/wiki/Ed_Daein_Airport
ADW	Andrews Field (Andrews Air Force Base)	Camp Springs, Maryland, United States	https://en.wikipedia.org/wiki/Andrews_Field
ADX	Leuchars Station (formerly RAF Leuchars)	St Andrews, Scotland, United Kingdom	https://en.wikipedia.org/wiki/Leuchars_Station
ADY	Alldays Airport	Alldays, South Africa	https://en.wikipedia.org/wiki/Alldays_Airport
ADZ	Gustavo Rojas Pinilla International Airport	San Andres Island, Colombia	https://en.wikipedia.org/wiki/Gustavo_Rojas_Pinilla_International_Airport
AEA	Abemama Atoll Airport	Abemama Atoll, Kiribati	https://en.wikipedia.org/wiki/Abemama_Atoll_Airport
AEB	Baise Bama Airport	Baise, Guangxi, China	https://en.wikipedia.org/wiki/Baise_Bama_Airport
AEE	Adareil Airport	Adareil, South Sudan	https://en.wikipedia.org/wiki/Adareil_Airport
AEG	Aek Godang Airport	Padang Sidempuan, Indonesia	https://en.wikipedia.org/wiki/Aek_Godang_Airport
AEH	Abéché Airport	Abéché, Chad	https://en.wikipedia.org/wiki/Ab%C3%A9ch%C3%A9_Airport
AEK	Aseki Airport	Aseki, Papua New Guinea	https://en.wikipedia.org/wiki/Aseki_Airport
AEL	Albert Lea Municipal Airport	Albert Lea, Minnesota, United States	https://en.wikipedia.org/wiki/Albert_Lea_Municipal_Airport
AEM	Amgu Airport	Amgu, Primorsky Krai, Russia	https://en.wikipedia.org/wiki/Amgu_Airport
AEO	Aioun el Atrouss Airport	Aioun el Atrouss, Mauritania	https://en.wikipedia.org/wiki/Aioun_el_Atrouss_Airport
AEP	Jorge Newbery Airpark	Buenos Aires, Argentina	https://en.wikipedia.org/wiki/Jorge_Newbery_Airpark
AEQ	Ar Horqin Airport	Ar Horqin Banner, China	https://en.wikipedia.org/wiki/Ar_Horqin_Airport
AER	Sochi International Airport	Sochi, Krasnodar Krai, Russia	https://en.wikipedia.org/wiki/Sochi_International_Airport
AES	Ålesund Airport, Vigra	Ålesund, Norway	https://en.wikipedia.org/wiki/%C3%85lesund_Airport,_Vigra
AET	Allakaket Airport (FAA: 6A8)	Allakaket, Alaska, United States	https://en.wikipedia.org/wiki/Allakaket_Airport
AEU	Abu Musa Airport	Abu Musa Island, Iran	https://en.wikipedia.org/wiki/Abu_Musa_Airport
AEX	Alexandria International Airport	Alexandria, Louisiana, United States	https://en.wikipedia.org/wiki/Alexandria_International_Airport_(Louisiana)
AEY	Akureyri Airport	Akureyri, Iceland	https://en.wikipedia.org/wiki/Akureyri_Airport
AFA	San Rafael Airport	San Rafael, Mendoza, Argentina	https://en.wikipedia.org/wiki/San_Rafael_Airport_(Argentina)
AFD	Port Alfred Airport	Port Alfred, South Africa	https://en.wikipedia.org/wiki/Port_Alfred_Airport
AFF	United States Air Force Academy Airfield	Colorado Springs, Colorado, United States	https://en.wikipedia.org/wiki/United_States_Air_Force_Academy_Airfield
AFI	Amalfi Airport	Amalfi, Colombia	https://en.wikipedia.org/wiki/Amalfi_Airport_(Colombia)
AFK	Kondavattavan Tank Seaplane Base	Ampara, Sri Lanka	https://en.wikipedia.org/w/index.php?title=Kondavattavan_Tank_Seaplane_Base&action=edit&redlink=1
AFL	Alta Floresta Airport	Alta Floresta, Mato Grosso, Brazil	https://en.wikipedia.org/wiki/Alta_Floresta_Airport
AFN	Jaffrey Airport–Silver Ranch	Jaffrey, New Hampshire, United States	https://en.wikipedia.org/wiki/Jaffrey_Airport%E2%80%93Silver_Ranch
AFO	Afton Municipal Airport	Afton, Wyoming, United States	https://en.wikipedia.org/wiki/Afton_Municipal_Airport
AFR	Afore Airstrip	Afore, Papua New Guinea	https://en.wikipedia.org/wiki/Afore_Airstrip
AFS	Zarafshan Airport	Zarafshan, Uzbekistan	https://en.wikipedia.org/wiki/Zarafshan_Airport
AFT	Afutara Airport	Afutara, Malaita, Solomon Islands	https://en.wikipedia.org/wiki/Afutara_Airport
AFW	Fort Worth Alliance Airport	Fort Worth, Texas, United States	https://en.wikipedia.org/wiki/Fort_Worth_Alliance_Airport
AFY	Afyon Airport	Afyon, Turkey	https://en.wikipedia.org/wiki/Afyon_Airport
AFZ	Sabzevar Airport	Sabzevar, Iran	https://en.wikipedia.org/wiki/Sabzevar_Airport
AGA	Agadir–Al Massira Airport	Agadir, Morocco	https://en.wikipedia.org/wiki/Agadir%E2%80%93Al_Massira_Airport
AGB	Augsburg Airport	Augsburg, Bavaria, Germany	https://en.wikipedia.org/wiki/Augsburg_Airport
AGC	Allegheny County Airport	Pittsburgh, Pennsylvania, United States	https://en.wikipedia.org/wiki/Allegheny_County_Airport
AGD	Anggi Airport	Anggi, Indonesia	https://en.wikipedia.org/wiki/Anggi_Airport
AGE	Wangerooge Airfield	Wangerooge, Lower Saxony, Germany	https://en.wikipedia.org/wiki/Wangerooge_Airfield
AGF	Agen La Garenne Airport	Agen, Aquitaine, France	https://en.wikipedia.org/wiki/Agen_La_Garenne_Airport
AGG	Angoram Airport	Angoram, Papua New Guinea	https://en.wikipedia.org/w/index.php?title=Angoram_Airport&action=edit&redlink=1
AGH	Ängelholm–Helsingborg Airport (former ICAO: ESDB)	Ängelholm, Sweden	https://en.wikipedia.org/wiki/%C3%84ngelholm%E2%80%93Helsingborg_Airport
